[2026-09-04 09:30:05,408: INFO/MainProcess] Task profile.generate[064e7c51-6509-493d-8eb9-269359d5b1fa] received
[2026-09-04 09:30:29,778: INFO/ForkPoolWorker-1] Task fundos.readiness.tasks.scan_and_analyse_material[840a46a8-00dd-42ba-9044-80bb9c60b735] succeeded in 28.1571785248816s: 'ok'
[2026-09-04 09:30:41,226: INFO/ForkPoolWorker-3] Task fundos.readiness.tasks.scan_and_analyse_material[e98af28c-2844-40a2-8005-7292a9630b99] succeeded in 35.99489483889192s: 'ok'
[2026-09-04 09:30:48,724: INFO/MainProcess] Task fundos.core.alerting.tasks.evaluate_alerts[8d106e98-3558-490b-bc26-8582577b4467] received
[2026-09-04 09:30:48,739: INFO/ForkPoolWorker-1] Task fundos.core.alerting.tasks.evaluate_alerts[8d106e98-3558-490b-bc26-8582577b4467] succeeded in 0.013871698640286922s: 0
[2026-09-04 09:34:38,120: INFO/MainProcess] Task fundos.core.alerting.tasks.process_event_alert[299ac620-b86c-4d24-8fb2-71bb277be8aa] received
[2026-09-04 09:34:38,124: INFO/ForkPoolWorker-2] Task profile.generate[064e7c51-6509-493d-8eb9-269359d5b1fa] succeeded in 272.7138299308717s: {'generated': ['company_profile', 'founders', 'products_services', 'customers_markets', 'competitive_advantages', 'business_model', 'revenue_model', 'company_metrics', 'financial_summary', 'funding_history', 'competitors', 'news', 'investors_cap_table', 'company_story', 'industry_research', 'investment_thesis'], 'skipped': [], 'needsInput': [], 'sourceFailures': [], 'completenessPct': 100.0, 'mode': 'pipeline', 'dossier': {'storageUri': 'profiles/62eef4b7-4f50-42b3-b61d-69fc711fe9a5/runs/3525da21-86e1-415f-bbb9-3ff53c5b1df6/consolidated.md', 'characters': 848649}, 'research': {'batches_total': 10, 'batches_finished': 10, 'batches_succeeded': 10, 'batches_failed': [], 'batch_errors': {}, 'questions_total': 100, 'searches': 211, 'text_chars': 271065, 'concurrency': 5}, 'documents': {'files_total': 2, 'files_converted': 2, 'files_ocr_triggered': 0, 'ocr_units_processed': 0, 'ocr_chars': 0, 'text_chars': 575423, 'ocr_engines': ['tesseract'], 'ocr_enabled': True, 'documents': [{...}, {...}], 'duration_seconds': 23..., ...}
[2026-09-04 09:34:38,133: INFO/ForkPoolWorker-1] [ALERT_ENGINE] event 'fundos.generation.completed' matched 0 alert(s)
[2026-09-04 09:34:38,134: INFO/ForkPoolWorker-1] Task fundos.core.alerting.tasks.process_event_alert[299ac620-b86c-4d24-8fb2-71bb277be8aa] succeeded in 0.013012218289077282s: 0
[2026-09-04 09:35:48,724: INFO/MainProcess] Task fundos.core.alerting.tasks.evaluate_alerts[668c84c4-ba44-40f7-ad6a-6dd6197807c9] received
[2026-09-04 09:35:48,738: INFO/ForkPoolWorker-1] Task fundos.core.alerting.tasks.evaluate_alerts[668c84c4-ba44-40f7-ad6a-6dd6197807c9] succeeded in 0.01345600001513958s: 0
[2026-09-04 09:40:48,724: INFO/MainProcess] Task fundos.core.alerting.tasks.evaluate_alerts[b24d463f-a187-4eb6-a14c-6127670e3a80] received
[2026-09-04 09:40:48,738: INFO/ForkPoolWorker-1] Task fundos.core.alerting.tasks.evaluate_alerts[b24d463f-a187-4eb6-a14c-6127670e3a80] succeeded in 0.01344898622483015s: 0
[2026-09-04 09:45:48,724: INFO/MainProcess] Task fundos.core.alerting.tasks.evaluate_alerts[59625c8e-2aa2-4076-a839-0b60df1646d0] received
[2026-09-04 09:45:48,738: INFO/ForkPoolWorker-1] Task fundos.core.alerting.tasks.evaluate_alerts[59625c8e-2aa2-4076-a839-0b60df1646d0] succeeded in 0.013295616023242474s: 0
[2026-09-04 09:46:03,447: INFO/MainProcess] Task fundos.readiness.tasks.scan_and_analyse_material[0be12fc0-14fc-4d8e-b230-cb32d2448ea4] received
[2026-09-04 09:46:03,873: INFO/MainProcess] Task fundos.readiness.tasks.scan_and_analyse_material[35a51f19-09d3-4f57-98a6-e04c97df4ec9] received
[2026-09-04 09:46:04,195: INFO/MainProcess] Task profile.generate[9876a096-f096-4e46-ac94-346bed10590f] received
[2026-09-04 09:46:08,939: ERROR/ForkPoolWorker-1] MATERIALS: critique failed for 7a91c2d6-13fa-4b12-b582-1eda90143c40: LLM role 'material_critique' unavailable: gemini 400 for model gemini-2.5-flash: API key not valid. Please pass a valid API key.
